lat,lng,height
39.00620,-99.50491,664.36
26.49819,-97.75885,-15.87
43.71288,-98.91825,489.50
26.50103,-97.75498,-15.89
39.01016,-99.40602,651.57
26.51593,-97.73971,-15.26
39.01032,-99.41215,655.85
38.97713,-99.41894,630.74
39.00777,-99.43099,652.34
38.99126,-99.44313,633.43
35.02529,-118.34869,1209.86
35.03419,-118.35419,1243.61
38.99143,-99.43888,634.27
38.99245,-99.53062,651.03
39.01637,-99.43223,655.60
38.97505,-99.38793,627.91
38.98905,-99.53380,646.27
38.99210,-99.37329,646.34
38.99222,-99.39407,649.15
39.00980,-99.38623,648.98
38.99144,-99.45119,635.41
39.00420,-99.39435,649.49
39.00603,-99.51721,670.82
43.72003,-98.91909,492.03
39.00398,-99.38351,648.61
39.00379,-99.37957,646.66
39.00857,-99.49423,662.85
38.99217,-99.42478,636.34
35.02739,-118.34719,1239.07
35.02490,-118.35349,1214.54
35.01590,-118.29599,989.93
34.99659,-118.31679,996.79
35.00630,-118.30316,968.60
35.01609,-118.26028,937.08
35.00449,-118.26949,938.76
35.00750,-118.30309,971.11
35.01500,-118.26079,937.55
35.01230,-118.27969,963.85
35.01400,-118.26149,938.86
35.01720,-118.25989,937.73
35.01469,-118.29679,987.41
35.01369,-118.29758,984.91
35.01140,-118.28069,962.48
35.01790,-118.27259,964.95
35.02319,-118.25829,939.65
34.99789,-118.26668,922.60
34.99639,-118.27079,923.61
34.99670,-118.26939,922.95
35.02079,-118.25889,938.99
35.03699,-118.25449,943.23
35.03310,-118.25679,942.06
35.03239,-118.22429,870.34
35.02050,-118.26759,957.59
35.01790,-118.23199,885.67
35.01080,-118.22388,871.85
35.01876,-118.23087,883.32
35.00050,-118.30809,973.01
35.02829,-118.25799,939.00
35.03630,-118.24509,914.70
35.03540,-118.22829,881.74
35.03040,-118.22689,875.71
35.03059,-118.25699,939.76
34.99820,-118.31449,989.50
35.00230,-118.30629,972.04
35.00380,-118.27059,939.04
35.02549,-118.22329,867.84
44.25314,-96.21500,515.67
44.21783,-96.26735,548.04
44.22070,-96.28961,546.19
44.26311,-96.22402,516.53
44.21783,-96.29347,539.73
44.25770,-96.25311,538.72
44.27557,-96.20476,516.65
44.24518,-96.18227,513.16
44.24567,-96.20841,515.58
44.55409,-96.68049,561.23
44.25125,-96.24330,529.64
44.26086,-96.24881,526.49
44.23713,-96.20499,516.80
44.26627,-96.20715,518.67
44.26565,-96.23633,520.73
44.26570,-96.22954,518.50
44.25831,-96.18816,514.13
44.50839,-96.59269,574.82
44.22889,-96.28691,558.46
44.54009,-96.59749,574.31
44.24298,-96.21743,517.23
44.52589,-96.64839,565.00
44.25357,-96.19536,513.14
44.21784,-96.27279,554.84
44.48879,-96.61659,554.61
44.25923,-96.20743,516.84
44.51319,-96.65569,560.45
44.50159,-96.66359,549.58
44.21540,-96.25217,552.72
44.21692,-96.24540,563.71
44.55399,-96.69229,551.48
44.52599,-96.65189,564.82
44.49109,-96.66009,554.19
44.49109,-96.66379,550.80
44.50839,-96.58879,572.84
44.53909,-96.65989,572.65
44.52339,-96.62249,572.39
44.54549,-96.60909,577.45
44.51589,-96.60249,570.24
44.24353,-96.24710,542.63
44.23481,-96.27199,562.87
44.23494,-96.27778,560.73
44.20545,-96.29584,532.54
44.52309,-96.67259,556.31
44.54539,-96.60529,573.82
32.90569,-101.59499,873.82
44.26431,-96.24371,524.93
44.23038,-96.25247,572.05
32.91539,-101.59099,872.90
44.54549,-96.61669,581.14
32.96099,-101.60449,849.30
44.49029,-96.58799,572.00
44.23589,-96.19769,514.21
44.54899,-96.62559,581.19
32.92299,-101.58189,874.21
32.92880,-101.56799,866.78
44.52419,-96.61269,578.15
32.92829,-101.60409,876.25
44.53169,-96.57809,556.97
44.22152,-96.25668,553.26
44.51319,-96.65929,554.15
44.50399,-96.63189,540.25
44.50399,-96.62829,550.32
44.52549,-96.58789,573.69
44.53909,-96.65639,572.27
44.24651,-96.27078,569.30
32.93619,-101.61379,869.01
44.54009,-96.59359,571.33
32.93649,-101.56039,864.82
44.52419,-96.59989,572.73
44.53519,-96.67469,561.87
44.24342,-96.18770,513.08
44.24504,-96.17641,509.12
44.55399,-96.68539,555.01
44.52239,-96.62899,560.98
32.94839,-101.56539,862.50
44.25018,-96.26516,560.21
44.53179,-96.61849,574.90
32.95609,-101.55639,860.87
44.49169,-96.64859,556.33
32.95260,-101.58789,855.86
44.55500,-96.58443,568.78
44.53349,-96.69299,541.06
35.01463,-118.27629,964.54
44.54549,-96.61289,578.45
44.51319,-96.64859,564.00
44.48999,-96.60829,560.95
44.53419,-96.57079,562.34
35.05139,-118.37128,1323.89
35.03550,-118.36029,1274.95
35.04369,-118.36369,1310.52
35.04670,-118.35849,1273.79
35.05329,-118.36929,1332.15
35.04599,-118.35959,1262.62
35.05679,-118.34959,1231.03
35.04340,-118.36489,1323.66
35.03590,-118.34199,1237.16
32.91009,-101.57829,869.32
32.90830,-101.57239,868.59
32.92289,-101.54519,870.92
44.52299,-96.66879,558.72
44.55449,-96.59959,568.40
32.93070,-101.57609,863.04
44.53469,-96.67939,553.72
44.52599,-96.65899,560.15
44.53179,-96.62269,569.66
44.52539,-96.59209,574.95
44.52309,-96.67639,551.92
44.22876,-96.20232,521.06
44.53419,-96.56329,559.35
44.52599,-96.65529,563.80
44.53719,-96.66869,567.84
44.50149,-96.65969,556.98
32.94649,-101.59849,852.27
44.54199,-96.57959,561.99
44.50299,-96.65199,558.32
44.55409,-96.67149,572.51
44.55409,-96.66699,571.16
44.51639,-96.59779,569.11
44.53949,-96.64109,565.53
44.52419,-96.61699,575.13
32.96099,-101.59739,847.53
32.94489,-101.59249,852.31
44.51319,-96.66289,548.28
44.55409,-96.67609,566.67
44.23447,-96.26427,562.65
44.53249,-96.70049,530.10
44.55409,-96.65999,573.86
44.54829,-96.63049,578.42
44.50139,-96.65569,559.82
44.53919,-96.66349,577.50
44.50289,-96.64849,559.98
44.49029,-96.59179,571.55
44.53419,-96.56699,562.51
32.92979,-101.57199,864.59
44.52519,-96.66369,560.79
32.95979,-101.57639,851.26
44.27582,-96.22558,514.04
44.50429,-96.62269,557.56
44.55499,-96.58829,570.09
44.55449,-96.59239,570.30
44.53349,-96.68889,546.98
44.55399,-96.68879,554.36
44.48999,-96.61259,558.53
44.50429,-96.61829,560.90
44.50379,-96.64209,555.65
35.05100,-118.39088,1502.34
35.03719,-118.35819,1297.72
35.05069,-118.39199,1518.37
35.05220,-118.38889,1490.97
35.05730,-118.34849,1235.12
35.05479,-118.39399,1496.50
35.05009,-118.39449,1520.03
35.05130,-118.38969,1498.06
32.35665,-98.41797,472.66
32.34427,-98.36827,455.04
44.50379,-96.63819,549.65
32.94569,-101.55539,866.61
35.00470,-118.25739,923.62
35.01669,-118.25109,919.66
35.00539,-118.24839,910.20
35.00829,-118.24559,907.81
35.00829,-118.25489,923.91
35.00219,-118.25069,911.21
35.01899,-118.25019,918.93
35.01599,-118.24149,902.14
35.00299,-118.25949,923.95
34.99699,-118.25299,907.40
35.01960,-118.24139,903.28
35.02140,-118.24949,918.48
35.01170,-118.25309,923.08
35.00629,-118.24739,909.57
35.01400,-118.25209,921.11
35.03080,-118.24709,915.35
35.00219,-118.26059,923.86
35.02020,-118.24979,918.63
34.99939,-118.26399,922.36
35.01270,-118.24299,905.34
35.00429,-118.24908,910.06
35.02549,-118.24129,907.18
35.02959,-118.24739,915.54
35.01720,-118.24139,902.72
35.00389,-118.25849,924.54
35.02430,-118.24139,908.30
35.00729,-118.25549,923.92
35.00029,-118.26299,922.98
35.02679,-118.24849,916.50
35.01379,-118.24239,904.19
35.01040,-118.24409,905.83
35.00729,-118.24639,908.98
35.02840,-118.29509,1030.41
35.01059,-118.31959,1018.81
35.03529,-118.30839,1076.37
35.02643,-118.29683,1026.68
35.01929,-118.31889,1039.53
35.01689,-118.30639,1002.16
35.03170,-118.30189,1047.66
35.01790,-118.31369,1015.09
35.02473,-118.30640,1022.48
35.01230,-118.32609,1048.48
35.01510,-118.30859,997.77
35.02140,-118.30059,1010.55
35.01419,-118.32429,1042.27
35.03590,-118.28839,1035.17
35.02599,-118.30619,1028.85
35.01723,-118.32219,1046.41
35.01590,-118.30739,999.40
35.02325,-118.29867,1018.15
35.01860,-118.31252,1013.91
35.01479,-118.31659,1018.50
35.03529,-118.29919,1056.25
35.03252,-118.28981,1028.99
35.01320,-118.32519,1045.38
35.01160,-118.31879,1019.01
35.01889,-118.32019,1044.49
35.02739,-118.29599,1028.73
35.02219,-118.29948,1014.32
35.02200,-118.24129,903.32
35.00950,-118.25429,923.73
35.00824,-118.23441,888.78
35.01710,-118.23518,891.17
35.02529,-118.24869,917.26
34.99589,-118.25389,906.66
35.01059,-118.25369,923.40
35.00119,-118.26189,923.43
35.01699,-118.22549,874.47
35.00670,-118.26619,938.41
35.02860,-118.22879,879.80
35.01839,-118.24139,903.11
35.02319,-118.24129,904.06
35.01479,-118.22359,871.47
35.03289,-118.22259,866.73
35.00330,-118.24989,910.60
35.01849,-118.27129,964.01
35.01790,-118.25059,919.26
35.00945,-118.24482,906.77
35.01085,-118.23350,888.84
35.01780,-118.22439,872.38
35.00619,-118.25619,923.55
35.03550,-118.24618,916.15
35.02739,-118.22979,881.63
35.00859,-118.30279,972.99
35.03370,-118.23299,884.79
35.03690,-118.22529,874.91
