lat,lng,height
42.52009,-77.43330,576.57
42.52709,-77.40929,603.72
42.54279,-77.50380,567.77
42.54819,-77.48679,563.71
42.56349,-77.43670,581.84
42.51609,-77.43439,576.27
42.52249,-77.49560,538.75
42.55889,-77.42899,580.46
42.53079,-77.43919,561.55
42.51839,-77.40670,576.24
42.54299,-77.39999,588.83
42.56479,-77.44330,565.07
42.56269,-77.44870,556.89
42.52989,-77.39950,588.30
42.52649,-77.40150,596.34
42.54999,-77.44120,567.51
42.53499,-77.39780,597.87
42.44549,-77.52319,586.14
42.53609,-77.48859,573.14
42.54589,-77.50300,560.51
42.52009,-77.49910,547.17
42.50599,-77.44720,576.05
42.54639,-77.40610,580.30
42.56029,-77.45110,550.63
42.52529,-77.43230,562.95
42.52319,-77.45890,533.49
42.56069,-77.43960,574.13
42.51609,-77.49820,559.39
42.44329,-77.52550,588.41
42.54559,-77.48859,559.27
42.53349,-77.49000,572.13
42.52569,-77.41900,594.03
42.44099,-77.52779,577.49
42.52399,-77.49270,549.21
42.03822,-77.68971,682.40
42.03787,-77.66476,681.89
42.11510,-77.72956,685.72
42.00945,-77.65970,652.66
42.11554,-77.70214,681.66
42.10373,-77.71811,688.65
42.12938,-77.71761,668.22
42.04953,-77.70375,663.11
42.11924,-77.70828,687.92
42.11042,-77.68052,684.26
42.07995,-77.70875,697.82
42.13454,-77.70934,686.16
42.05653,-77.68579,680.65
42.09925,-77.72263,684.77
42.13449,-77.72508,654.93
42.01832,-77.68880,659.24
42.03719,-77.70080,669.83
42.01572,-77.66331,658.28
42.10670,-77.71168,684.06
42.07394,-77.68813,658.25
42.01571,-77.67198,658.08
42.11787,-77.69336,664.76
42.03324,-77.67705,664.05
42.01074,-77.68993,660.21
42.97949,-75.73949,455.96
42.99099,-75.76950,480.82
42.98999,-75.75570,463.50
42.99439,-75.76480,476.27
43.00509,-75.76540,476.95
42.98069,-75.76739,464.84
43.00099,-75.76710,480.33
42.99859,-75.75930,475.68
42.98979,-75.76110,477.40
42.99529,-75.77190,468.88
43.00109,-75.76060,478.87
42.97467,-75.75950,493.76
42.99419,-75.75960,472.10
42.97149,-75.75990,488.52
43.00355,-75.76324,476.48
42.98069,-75.76200,487.97
42.97747,-75.73825,468.56
42.98829,-75.76770,481.42
42.97689,-75.76030,488.39
42.97555,-75.76784,480.76
40.96906,-72.57085,-20.50
43.22609,-77.36174,93.71
43.22695,-77.36014,93.09
43.14269,-74.89450,400.40
43.09199,-74.90540,352.20
43.12239,-74.89600,424.12
43.16039,-74.90080,442.92
43.09189,-74.86629,382.10
43.15789,-74.90190,435.91
43.11109,-74.90400,395.31
